"APTSBREAK1ENDDATE__C","APTSBREAK1NUMBEROFWEEKS__C","APTSBREAK1STARTDATE__C","APTSBREAK2ENDDATE__C","APTSBREAK2NUMBEROFWEEKS__C","APTSBREAK2STARTDATE__C","APTSBREAK3ENDDATE__C","APTSBREAK3NUMBEROFWEEKS__C","APTSBREAK3STARTDATE__C","COURSE__C","APTSCOURSENUMBEROFWEEKS__C","DATEOFBIRTHFROM__C","DATEOFBIRTHTO__C","DESTINATION__C","APTSENDDATE__C","IS_BEGINNER__C","IS_PREFERRED__C","NAME","PREFERRED__C","PROGRAM__C","STARTDATE__C","START_DATE_CONVERTED__C","APTSTERM1ENDDATE__C","APTSTERM1NUMBEROFWEEKS__C","APTSTERM1STARTDATE__C","APTSTERM2ENDDATE__C","APTSTERM2NUMBEROFWEEKS__C","APTSTERM2STARTDATE__C","APTSTERM3ENDDATE__C","APTSTERM3NUMBEROFWEEKS__C","APTSTERM3STARTDATE__C","APTSTERM4ENDDATE__C","APTSTERM4NUMBEROFWEEKS__C","APTSTERM4STARTDATE__C"
"","","","","","","","","","E","","","","GB-OXF","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","ES-MAA","","true","true","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgj"" alt=""greendot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","ES-MAD","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","ES-BAR","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","FR-PAR","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","FR-PAR","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","FR-NIC","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","IT-ROM","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","MT-MSJ","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","MT-MSJ","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","US-CHI","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","NZ-AUC","","true","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","AU-SYD","","true","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","BL","","","","AU-SYD","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","AU-PER","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","ZA-CAP","","false","true","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgj"" alt=""greendot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","US-SEA","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","US-SFD","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","US-SBA","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","US-SBA","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","BL","","","","GB-MAN","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","GB-EAS","","false","true","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgj"" alt=""greendot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","GB-BOU","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","BL","","","","GB-BOU","","true","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","GB-BOU","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","CA-TOO","","true","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","CA-VAN","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","JP-TYO","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","JP-TYO","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","CN-SHA","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","CN-SHA","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","US-WAS","","false","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","BL","","","","US-WAS","","true","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","MLY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","GB-LON","","true","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","G","","","","GB-LON","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","BL","","","","US-SDC","","true","false","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","E","","","","US-NYC","","false","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2018-03-26","26/3/2018","","","","","","","","","","","",""
"","","","","","","","","","B","","","","US-HNL","","false","true","January","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgj"" alt=""greendot"" border=""0""/>","AY","2018-01-29","29/1/2018","","","","","","","","","","","",""
"","","","","","","","","","I","","","","GB-BRI","","true","false","March","<img src=""/servlet/servlet.FileDownload?file=01526000000HIgf"" alt=""reddot"" border=""0""/>","AY","2018-03-26","26/3/2018","","","","","","","","","","","",""
